number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
88,2.021225138071689,2025-06-21 14:10:51.140977,2025-06-21 14:10:53.365083,0 days 00:00:02.224106,0.6746994105555729,0.09489152734645587,6,24,221,45,0.31201195626989553,0.06713735912585089,0.970668796941125,COMPLETE
89,2.2112767570299248,2025-06-21 14:10:53.367091,2025-06-21 14:10:56.776582,0 days 00:00:03.409491,0.7040462720636954,0.01595430779367773,8,28,250,49,0.2977337241825819,0.03874711407082129,0.8865479533898211,COMPLETE
90,1.9993502508753564,2025-06-21 14:10:56.776582,2025-06-21 14:10:59.295015,0 days 00:00:02.518433,0.6528151593397279,0.09084079395373644,7,24,236,48,0.3730352458170779,0.07615028520740824,0.8377967568833683,COMPLETE
91,2.0042955636573656,2025-06-21 14:10:59.295015,2025-06-21 14:11:01.824409,0 days 00:00:02.529394,0.6529423566299813,0.09047445512415304,7,24,235,48,0.33105167877580094,0.07361027205277276,0.8346214122204074,COMPLETE
92,1.9961736995993213,2025-06-21 14:11:01.824409,2025-06-21 14:11:04.228526,0 days 00:00:02.404117,0.6309365160979108,0.09733956047407549,7,22,239,49,0.37733127262164357,0.12055428814285107,0.8649596041697463,COMPLETE
93,1.996354185467278,2025-06-21 14:11:04.228526,2025-06-21 14:11:06.637532,0 days 00:00:02.409006,0.6006832046038947,0.09661367929375922,7,22,241,49,0.37179332117165365,0.11684918954240613,0.8459373732907198,COMPLETE
94,1.9965346713352345,2025-06-21 14:11:06.637532,2025-06-21 14:11:09.376394,0 days 00:00:02.738862,0.6131454936589926,0.09711822230327855,8,22,243,46,0.4235332188697535,0.12090611753368656,0.8684679191151703,COMPLETE
95,1.9977980724109303,2025-06-21 14:11:09.376394,2025-06-21 14:11:12.551793,0 days 00:00:03.175399,0.6026073004781762,0.09742483851338628,7,21,242,46,0.4249127738490902,0.12125193096557525,0.8645515898860248,COMPLETE
96,2.0111179294661228,2025-06-21 14:11:12.551793,2025-06-21 14:11:16.166500,0 days 00:00:03.614707,0.6037182998088378,0.09722452364387124,6,21,236,45,0.42681303055704123,0.12326747354428613,0.8671427876180369,COMPLETE
97,1.99061473486626,2025-06-21 14:11:16.167496,2025-06-21 14:11:18.683628,0 days 00:00:02.516132,0.6117633691587645,0.09751697313312313,8,22,243,46,0.37793525252827986,0.09007918905193445,0.9124384941478436,COMPLETE
98,2.060859834674945,2025-06-21 14:11:18.683628,2025-06-21 14:11:20.556337,0 days 00:00:01.872709,0.6117115199152126,0.09813863674584711,5,22,243,44,0.4067154939445664,0.13908955852893057,0.9230968617713274,COMPLETE
99,1.9927444681081472,2025-06-21 14:11:20.556337,2025-06-21 14:11:22.621692,0 days 00:00:02.065355,0.6298522318587468,0.09576651815309911,8,22,244,46,0.37909234458153657,0.1308574769445536,0.9061033896676625,COMPLETE
100,1.9992419593545825,2025-06-21 14:11:22.622695,2025-06-21 14:11:24.615720,0 days 00:00:01.993025,0.6300439327430202,0.09522858601888642,7,22,245,46,0.4438030167198388,0.1326777889825192,0.907503527201376,COMPLETE
101,2.002238024762661,2025-06-21 14:11:24.616720,2025-06-21 14:11:26.640674,0 days 00:00:02.023954,0.6291010578282966,0.09542727252608382,7,22,245,46,0.4422162539750108,0.12838453932794175,0.9079522149954827,COMPLETE
102,2.010829152077392,2025-06-21 14:11:26.641673,2025-06-21 14:11:28.845065,0 days 00:00:02.203392,0.6138687647908483,0.08917795727126451,7,20,231,46,0.3782509069792179,0.15819521762343064,0.9381596713863628,COMPLETE
103,2.000938526513374,2025-06-21 14:11:28.846067,2025-06-21 14:11:31.207107,0 days 00:00:02.361040,0.6185414316116188,0.09492703582776706,8,23,250,44,0.423465212608984,0.09831420018423775,0.9005739739868067,COMPLETE
104,2.005053604302783,2025-06-21 14:11:31.208107,2025-06-21 14:11:33.203841,0 days 00:00:01.995734,0.6197502989149819,0.09504155965568649,7,21,250,43,0.4193063021006808,0.09541837910026146,0.8788108959054094,COMPLETE
105,2.0033570371439917,2025-06-21 14:11:33.204840,2025-06-21 14:11:35.168126,0 days 00:00:01.963286,0.601519535214885,0.09759119777918701,7,23,243,46,0.46095024866872264,0.10490558424555059,0.8973646615469157,COMPLETE
106,2.015485687470671,2025-06-21 14:11:35.169130,2025-06-21 14:11:37.232718,0 days 00:00:02.063588,0.6328674478557642,0.08768317169041508,8,22,238,43,0.44778035066001914,0.1109969258581657,0.91299192785219,COMPLETE
107,2.000469263256687,2025-06-21 14:11:37.233719,2025-06-21 14:11:39.594619,0 days 00:00:02.360900,0.6204152307381398,0.09052014693303045,7,21,247,47,0.39139960081836095,0.13565412678689062,0.884515300916825,COMPLETE
108,2.0218387900227413,2025-06-21 14:11:39.595619,2025-06-21 14:11:41.525304,0 days 00:00:01.929685,0.6056592696881629,0.09001961493831481,6,21,246,45,0.38738498854075754,0.1343079158642687,0.9567270018744585,COMPLETE
109,2.0064974912464355,2025-06-21 14:11:41.526303,2025-06-21 14:11:43.567171,0 days 00:00:02.040868,0.635071773318755,0.09112277900988221,7,22,242,47,0.4344931678622383,0.1448905164292565,0.9299185553742821,COMPLETE
110,2.0016965671587914,2025-06-21 14:11:43.568172,2025-06-21 14:11:46.435014,0 days 00:00:02.866842,0.6249566854849963,0.09753596707286746,7,20,233,47,0.39632425231439755,0.12393207328262194,0.8837900984792298,COMPLETE
111,2.0042594664837745,2025-06-21 14:11:46.435014,2025-06-21 14:11:48.590312,0 days 00:00:02.155298,0.6166040584227463,0.09462784350247563,7,23,247,44,0.4230928958419864,0.11030193075459098,0.8961000317250493,COMPLETE
112,1.9930332454968775,2025-06-21 14:11:48.591308,2025-06-21 14:11:50.746941,0 days 00:00:02.155633,0.6187692284105174,0.09600516094213125,8,23,237,46,0.40912115827033557,0.1613314668692702,0.9043699578811268,COMPLETE
113,2.0006497491246433,2025-06-21 14:11:50.747941,2025-06-21 14:11:52.734739,0 days 00:00:01.986798,0.63823476879344,0.09653025236297398,7,22,237,46,0.4103774050278262,0.16977483753278194,0.9066738553329096,COMPLETE
114,2.0019492473739304,2025-06-21 14:11:52.735738,2025-06-21 14:11:54.765324,0 days 00:00:02.029586,0.6023279972972457,0.09355104927632643,8,21,232,48,0.36974132421022354,0.1608584624168105,0.9223617990065008,COMPLETE
115,2.0080496697108616,2025-06-21 14:11:54.766324,2025-06-21 14:11:56.782933,0 days 00:00:02.016609,0.6317099771744812,0.08588328769224082,7,22,242,47,0.39498174292299604,0.12828926644169464,0.8459097501802785,COMPLETE
116,1.998592210229939,2025-06-21 14:11:56.782933,2025-06-21 14:11:58.922299,0 days 00:00:02.139366,0.6116510067972353,0.09765343421506974,8,23,228,46,0.4672134301100542,0.1500877666497371,0.8749023264269027,COMPLETE
117,2.003501425838357,2025-06-21 14:11:58.922299,2025-06-21 14:12:00.889906,0 days 00:00:01.967607,0.6102289899918201,0.09783321804339414,8,23,228,45,0.4652493766415586,0.14776022841387934,0.859398764581764,COMPLETE
