number,value,datetime_start,datetime_complete,duration,params_alpha,params_fit_intercept,params_max_iter,params_selection,params_tol,state
74,0.6397386207065561,2025-06-21 22:32:32.414291,2025-06-21 22:32:32.460356,0 days 00:00:00.046065,0.00010029604841305326,True,7000,cyclic,0.0018890552537482322,COMPLETE
75,0.6407723961703254,2025-06-21 22:32:32.461355,2025-06-21 22:32:32.514383,0 days 00:00:00.053028,0.00021137059278660477,True,6000,cyclic,0.002197254259625435,COMPLETE
76,0.6399306741309142,2025-06-21 22:32:32.515383,2025-06-21 22:32:32.568881,0 days 00:00:00.053498,0.00012542925663670845,True,7000,cyclic,0.0015421082755547508,COMPLETE
77,0.7225166890452975,2025-06-21 22:32:32.569881,2025-06-21 22:32:32.624390,0 days 00:00:00.054509,0.007130244866954148,True,7000,cyclic,0.0026861340726544243,COMPLETE
78,0.6401729530498296,2025-06-21 22:32:32.625390,2025-06-21 22:32:32.675392,0 days 00:00:00.050002,0.00014066983501069007,True,5000,cyclic,0.000958014110386054,COMPLETE
79,0.6407750483006565,2025-06-21 22:32:32.676392,2025-06-21 22:32:32.727901,0 days 00:00:00.051509,0.00020397516478526327,True,6000,cyclic,0.0019514051620435346,COMPLETE
80,0.6397386207065561,2025-06-21 22:32:32.728914,2025-06-21 22:32:32.781900,0 days 00:00:00.052986,0.00010050180078539033,True,5000,cyclic,0.00511464445010612,COMPLETE
81,0.6397152877501187,2025-06-21 22:32:32.782900,2025-06-21 22:32:32.840415,0 days 00:00:00.057515,0.00010009409632312433,True,5000,cyclic,0.005903783163770332,COMPLETE
82,0.6398817472915185,2025-06-21 22:32:32.841414,2025-06-21 22:32:32.895415,0 days 00:00:00.054001,0.00012712337735812582,True,5000,cyclic,0.007869058849919433,COMPLETE
83,0.6404025562195534,2025-06-21 22:32:32.896416,2025-06-21 22:32:32.944960,0 days 00:00:00.048544,0.00016485889064813322,True,4000,cyclic,0.005850796743599219,COMPLETE
84,0.6623164772356397,2025-06-21 22:32:32.944960,2025-06-21 22:32:32.995941,0 days 00:00:00.050981,0.00236132778184878,True,5000,cyclic,0.004835935654334555,COMPLETE
85,0.6415632149269774,2025-06-21 22:32:32.996942,2025-06-21 22:32:33.047459,0 days 00:00:00.050517,0.0002650540512283005,True,3000,cyclic,0.003322465551990256,COMPLETE
