number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
31,2.0062809082048876,2025-06-21 01:05:01.516749,2025-06-21 01:05:04.809480,0 days 00:00:03.292731,0.8310556581555941,0.09514778560177375,7,28,227,45,0.14649340092761426,0.2328410019325173,0.7749312192143117,COMPLETE
32,2.0153412987763057,2025-06-21 01:05:04.810486,2025-06-21 01:05:07.696432,0 days 00:00:02.885946,0.6803263692700121,0.09217432851497392,7,28,228,44,0.03248116587284115,0.23882749213009788,0.7760831751160286,COMPLETE
33,2.0289138360466374,2025-06-21 01:05:07.698435,2025-06-21 01:05:10.586336,0 days 00:00:02.887901,0.8161695527302313,0.09371837378919982,7,32,196,44,0.03752712506326902,0.28123700087491876,0.77517790046958,COMPLETE
34,2.022741219362524,2025-06-21 01:05:10.586336,2025-06-21 01:05:13.525979,0 days 00:00:02.939643,0.6818422694196833,0.08664652271959251,8,29,227,41,0.07195717588671724,0.3190143304667383,0.9972670572986003,COMPLETE
35,2.0006497491246433,2025-06-21 01:05:13.530687,2025-06-21 01:05:16.528127,0 days 00:00:02.997440,0.8287980164022487,0.09977207069884914,7,32,239,42,0.02940044414016786,0.22542091712114118,0.8308867072425654,COMPLETE
36,2.0094574594809225,2025-06-21 01:05:16.528127,2025-06-21 01:05:19.504901,0 days 00:00:02.976774,0.8389026951300279,0.0994144044043636,6,40,239,49,0.29193637160886776,0.21737887812782097,0.8332008985475136,COMPLETE
37,2.12724253690936,2025-06-21 01:05:19.504901,2025-06-21 01:05:21.577420,0 days 00:00:02.072519,0.8332851408036182,0.09934288622080688,4,40,214,49,0.34814367531917717,0.10442174069217675,0.8827132486551656,COMPLETE
38,2.051366278020431,2025-06-21 01:05:21.580781,2025-06-21 01:05:24.537046,0 days 00:00:02.956265,0.7856270354953608,0.07640756170002427,8,37,184,41,0.30520440344060984,0.13695753177055212,0.8394083456886596,COMPLETE
39,2.008807710356279,2025-06-21 01:05:24.546987,2025-06-21 01:05:27.928451,0 days 00:00:03.381464,0.9194414063862469,0.09510217816832672,7,36,201,48,0.38171506538463107,0.2782150459280318,0.924586999221842,COMPLETE
40,2.032234776017038,2025-06-21 01:05:27.928451,2025-06-21 01:05:31.179478,0 days 00:00:03.251027,0.9305697170506404,0.08607932677346772,7,36,201,42,0.48230612757995334,0.3277118522009216,0.9101561856106181,COMPLETE
41,2.006172616684114,2025-06-21 01:05:31.183605,2025-06-21 01:05:34.584313,0 days 00:00:03.400708,0.8917805279464592,0.09538436073612848,6,39,240,48,0.4443885596864111,0.2879338289588541,0.8748006915115473,COMPLETE
42,2.014438869436523,2025-06-21 01:05:34.584313,2025-06-21 01:05:37.761118,0 days 00:00:03.176805,0.8945713344275418,0.09424893779269108,7,38,196,48,0.44347765931364874,0.29295565004332835,0.9402385565871253,COMPLETE
43,2.0072194347182615,2025-06-21 01:05:37.761673,2025-06-21 01:05:41.222816,0 days 00:00:03.461143,0.9251687422786543,0.09387502017586792,8,35,215,46,0.3956723985726028,0.3990724028178046,0.8907119854337151,COMPLETE
44,2.1942749882684187,2025-06-21 01:05:41.222816,2025-06-21 01:05:44.155142,0 days 00:00:02.932326,0.9528502210996846,0.03181111680745356,8,33,140,45,0.4513775293313873,0.46947456698637147,0.8731181142798986,COMPLETE
45,1.976428545644876,2025-06-21 01:05:44.155142,2025-06-21 01:05:47.701428,0 days 00:00:03.546286,0.8909116094388775,0.09600415147590391,9,34,240,50,0.409394252178588,0.3895884170627424,0.8613911854287752,COMPLETE
46,1.9937551889687037,2025-06-21 01:05:47.701428,2025-06-21 01:05:51.349169,0 days 00:00:03.647741,0.8868962363881477,0.08631429318301914,9,32,238,49,0.24000657017096344,0.40021848199176924,0.8583718119763534,COMPLETE
47,2.0013716925964697,2025-06-21 01:05:51.349169,2025-06-21 01:05:55.251500,0 days 00:00:03.902331,0.8749881511024588,0.07869414671324304,9,31,241,50,0.23624534150253151,0.3971027790678528,0.8707716694082493,COMPLETE
48,2.274771685377035,2025-06-21 01:05:55.251500,2025-06-21 01:06:00.222121,0 days 00:00:04.970621,0.8572606154889123,0.011257079175175905,9,32,243,50,0.23962069541734382,0.4080341262135753,0.8615340369424207,COMPLETE
49,2.0020575388947046,2025-06-21 01:06:00.222121,2025-06-21 01:06:04.318278,0 days 00:00:04.096157,0.8802637208735911,0.07776648249973984,10,31,233,50,0.3410382861074264,0.4419336541684442,0.8551413305346801,COMPLETE
